id,firsName,LastName,displayName,teamName
601,Tod,Murphy,Tod Murphy,Minnesota Timberwolves
602,Lafayette,Lever,Lafayette Lever,Dallas Mavericks
603,Corey,Gaines,Corey Gaines,Denver Nuggets
604,Mitch,Richmond,Mitch Richmond,Golden State Warriors
605,Kevin,Edwards,Kevin Edwards,Miami Heat
606,Haywoode,Workman,Haywoode Workman,Washington Wizards
607,Tom,Hammonds,Tom Hammonds,Washington Wizards
608,Rumeal,Robinson,Rumeal Robinson,Atlanta Hawks
609,Greg,Kite,Greg Kite,Orlando Magic
610,Vinnie,Johnson,Vinnie Johnson,Detroit Pistons
611,Jack,Sikma,Jack Sikma,Milwaukee Bucks
612,Delaney,Rudd,Delaney Rudd,Utah Jazz
613,Ed,Nealy,Ed Nealy,Phoenix Suns
614,Wayne,Cooper,Wayne Cooper,Portland Trail Blazers
615,Sleepy,Floyd,Sleepy Floyd,Houston Rockets
616,Felton,Spencer,Felton Spencer,Minnesota Timberwolves
617,Tyrone,Corbin,Tyrone Corbin,Minnesota Timberwolves
618,Marcus,Liberty,Marcus Liberty,Denver Nuggets
619,Walter,Davis,Walter Davis,Denver Nuggets
620,Tyrone,Hill,Tyrone Hill,Golden State Warriors
621,Alec,Kessler,Alec Kessler,Miami Heat
622,Terry,Davis,Terry Davis,Miami Heat
623,Larry,Robinson,Larry Robinson,Washington Wizards
624,Sidney,Moncrief,Sidney Moncrief,Atlanta Hawks
625,Jeff,Turner,Jeff Turner,Orlando Magic
626,Scott,Hastings,Scott Hastings,Detroit Pistons
627,Alvin,Robertson,Alvin Robertson,Milwaukee Bucks
628,Steve,Henson,Steve Henson,Milwaukee Bucks
629,Andy,Toolson,Andy Toolson,Utah Jazz
630,Thurl,Bailey,Thurl Bailey,Utah Jazz
631,Kurt,Rambis,Kurt Rambis,Phoenix Suns
632,Clyde,Drexler,Clyde Drexler,Portland Trail Blazers
633,David,Wood,David Wood,Houston Rockets
634,Sam,Mitchell,Sam Mitchell,Minnesota Timberwolves
635,Rodney,McCray,Rodney McCray,Dallas Mavericks
636,Blair,Rasmussen,Blair Rasmussen,Denver Nuggets
637,Kevin,Pritchard,Kevin Pritchard,Golden State Warriors
638,Milt,Wagner,Milt Wagner,Miami Heat
639,Bernard,King,Bernard King,Washington Wizards
640,Roy,Hinson,Roy Hinson,Brooklyn Nets
641,Matt,Bullard,Matt Bullard,Houston Rockets
642,Alan,Ogg,Alan Ogg,Miami Heat
643,Kevin,Lynch,Kevin Lynch,Charlotte Hornets
644,Larry,Krystkowiak,Larry Krystkowiak,Milwaukee Bucks
645,Pete,Chilcutt,Pete Chilcutt,Sacramento Kings
646,Randy,Brown,Randy Brown,Sacramento Kings
647,Elliot,Perry,Elliot Perry,LA Clippers
648,Jimmy,Oliver,Jimmy Oliver,Cleveland Cavaliers
649,Terrell,Brandon,Terrell Brandon,Cleveland Cavaliers
650,Greg,Sutton,Greg Sutton,San Antonio Spurs
651,Tom,Copa,Tom Copa,San Antonio Spurs
652,Donald,Hodge,Donald Hodge,Dallas Mavericks
653,Joao,Vianna,Joao Vianna,Dallas Mavericks
654,Mike,Iuzzolino,Mike Iuzzolino,Dallas Mavericks
655,Greg,Anthony,Greg Anthony,New York Knicks
656,Albert,King,Albert King,Washington Wizards
657,Tellis,Frank,Tellis Frank,Minnesota Timberwolves
658,David,Benoit,David Benoit,Utah Jazz
659,Demetrius,Calip,Demetrius Calip,Los Angeles Lakers
660,Dikembe,Mutombo,Dikembe Mutombo,Denver Nuggets
661,Mark,Macon,Mark Macon,Denver Nuggets
662,Chris,Gatling,Chris Gatling,Golden State Warriors
663,Victor,Alexander,Victor Alexander,Golden State Warriors
664,Mark,Randall,Mark Randall,Chicago Bulls
665,Mitchell,Wiggins,Mitchell Wiggins,Philadelphia 76ers
666,Tharon,Mayes,Tharon Mayes,Philadelphia 76ers
667,Charles,Thomas,Charles Thomas,Detroit Pistons
668,Robert,Pack,Robert Pack,Portland Trail Blazers
669,John,Bagley,John Bagley,Boston Celtics
670,Rick,Fox,Rick Fox,Boston Celtics
671,Larry,Johnson,Larry Johnson,Charlotte Hornets
672,Alexander,Volkov,Alexander Volkov,Atlanta Hawks
673,Stacey,Augmon,Stacey Augmon,Atlanta Hawks
674,Carl,Thomas,Carl Thomas,Sacramento Kings
675,Steven,Smith,Steven Smith,Miami Heat
676,Stanley,Roberts,Stanley Roberts,Orlando Magic
677,Doug,Lee,Doug Lee,Brooklyn Nets
678,Rafael,Addison,Rafael Addison,Brooklyn Nets
679,Sean,Green,Sean Green,Indiana Pacers
680,Corey,Crowder,Corey Crowder,Utah Jazz
681,Eric,Murdock,Eric Murdock,Utah Jazz
682,Kevin,Brooks,Kevin Brooks,Denver Nuggets
683,Carlton,McKinney,Carlton McKinney,New York Knicks
684,Billy,Owens,Billy Owens,Golden State Warriors
685,Doug,Smith,Doug Smith,Dallas Mavericks
686,Marty,Conlon,Marty Conlon,Oklahoma City Thunder
687,Rich,King,Rich King,Oklahoma City Thunder
688,Brad,Sellers,Brad Sellers,Detroit Pistons
689,Rodney,Monroe,Rodney Monroe,Atlanta Hawks
690,Lanard,Copeland,Lanard Copeland,LA Clippers
691,LeRon,Ellis,LeRon Ellis,LA Clippers
692,Larry,Stewart,Larry Stewart,Washington Wizards
693,John,Turner,John Turner,Houston Rockets
694,Charles,Shackleford,Charles Shackleford,Philadelphia 76ers
695,Keith,Owens,Keith Owens,Los Angeles Lakers
696,Paul,Graham,Paul Graham,Atlanta Hawks
697,Kenny,Anderson,Kenny Anderson,Brooklyn Nets
698,Carl,Herrera,Carl Herrera,Houston Rockets
699,Myron,Brown,Myron Brown,Minnesota Timberwolves
700,Dale,Davis,Dale Davis,Indiana Pacers
701,Labradford,Smith,Labradford Smith,Washington Wizards
702,Bison,Dele,Bison Dele,Orlando Magic
703,Chuck,Nevitt,Chuck Nevitt,Chicago Bulls
704,Patrick,Eddie,Patrick Eddie,New York Knicks
705,David,Rivers,David Rivers,LA Clippers
706,Luc,Longley,Luc Longley,Minnesota Timberwolves
707,Bob,McCann,Bob McCann,Detroit Pistons
708,Donald,Royal,Donald Royal,San Antonio Spurs
709,Anthony,Bowie,Anthony Bowie,Orlando Magic
710,Chris,Corchiani,Chris Corchiani,Orlando Magic
711,Stephen,Thompson,Stephen Thompson,Orlando Magic
